LOCAL_CODE
(지번) 창동 337-1
(지번) 도봉동 470-3
(지번) 쌍문동 100-35
(지번) 창동 700-27
(지번) 쌍문동 395-6
(지번) 도봉1동 600-4
(지번) 창동 74-25
(지번) 도봉동 596-23
(지번) 도봉동 286-27
(지번) 방학동 436-9
(지번) 창2동 650-30
(지번) 쌍문동 81-74
(지번) 방학1동 680-14
(지번) 방학동 598-1
(지번) 창동 715-4
(지번) 창동 608-142
(지번) 방학동 677-20
(지번) 창동 659-16
(지번) 방학동 669-3
(지번) 창동 674-29
(지번) 창동 635-42
(지번) 창동 651-5
(지번) 도봉동 625-13
(지번) 창동 700-29
(지번) 쌍문동 47-2
(지번) 도봉동 343-2
(지번) 창동 750
(지번) 도봉동 635
(지번) 창동 269-4
(지번) 도봉동 560-19
(지번) 쌍문동 103-30
(지번) 쌍문동 395-2
(지번) 도봉동 279-13
(지번) 창동 659-1
(지번) 도봉동 597-21
(지번) 창동 26
(지번) 창동 813
(지번) 방학동 669
(지번) 창동 658-49
(지번) 방학동 716-14
(지번) 창동 657-68
(지번) 창동 651-5
(지번) 쌍문동 422-80
(지번) 창동 651-51
(지번) 창동 333
(지번) 창동 651-64
(지번) 창동 715-32
(지번) 방학동 590-2
(지번) 창동 657-111
(지번) 창동 621-31
(지번) 창동 134-2
(지번) 쌍문동 423-17
(지번) 창동 446-4
(지번) 창동 74-25
(지번) 방학동 675-33
(지번) 방학동 664
(지번) 쌍문동 315-354
(지번) 창동 750
(지번) 도봉동 597-20
(지번) 창동 286-10
(지번) 창동 661-80
(지번) 방학동 592-1
(지번) 창동 338
(지번) 방학동 263-75
(지번) 창동 820
(지번) 창동 715-4
(지번) 방학동 670-2
(지번) 창동 4
(지번) 쌍문동 88-116
(지번) 창동 74-8
(지번) 쌍문동 44-1
(지번) 창동 715-27
(지번) 창동 667-5

(지번) 창동 651-77
(지번) 쌍문동 96-27
(지번) 쌍문동 103-66
(지번) 도봉동 411-1
(지번) 도봉2동 636-15
(지번) 쌍문동 700
(지번) 창동 657-143
(지번) 창동 659-5
(지번) 쌍문동 96-9
(지번) 쌍문동 88-115
(지번) 창동 731-72
(지번) 창동 657-125
(지번) 방학동 264-46
(지번) 방학동 676-21
(지번) 방학동 703-14
(지번) 창동 676-77
(지번) 쌍문동 206-10
(지번) 창동 659-32
(지번) 창동 828
(지번) 도봉동 616-14
(지번) 방학동 584
(지번) 쌍문동 20-4
(지번) 도봉동 600-27
(지번) 창동 655-6
(지번) 쌍문동 259
(지번) 창동 659-9
(지번) 쌍문1동 343-2
(지번) 방학동 695-8
(지번) 창동 75-3
(지번) 쌍문동 580
(지번) 도봉동 622-64
(지번) 창동 676-76
(지번) 도봉동 635-2
(지번) 쌍문동 88-21
(지번) 쌍문동 88-4
(지번) 방학동 716
(지번) 도봉동 623-77
(지번) 창동 134-36
(지번) 도봉동 596-2
(지번) 도봉동 384-9
(지번) 쌍문동 88-70
(지번) 창동 657-126
(지번) 쌍문동 85-31
(지번) 방학동 717-2
(지번) 창동 650-45
(지번) 쌍문동 309-21
(지번) 방학동 593-2
(지번) 방학동 703-54
(지번) 창동 16
(지번) 창동 254-21
(지번) 창동 14
(지번) 도봉동 62-3
(지번) 창동 9-2
(지번) 쌍문동 423-99
(지번) 도봉동 629-30
(지번) 방학동 703-14
(지번) 쌍문동 350-3
(지번) 도봉1동 572
(지번) 창동 659-11
(지번) 창동 731-55
(지번) 창동 657-83
(지번) 방학동 706-9
(지번) 쌍문동 423-17
(지번) 도봉동 574-28
(지번) 도봉동 92-48
(지번) 쌍문동 94-50
(지번) 창동 286-6
(지번) 도봉동 560-14
(지번) 창동 655-15
(지번) 창동 651-31
(지번) 창동 715-1
(지번) 쌍문동 668-18
(지번) 방학동 682-7
(지번) 방학동 695
(지번) 창동 655-11
(지번) 창동 338
(지번) 창동 659-4
(지번) 창동 288-40
